Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Jordan,JOR,31.5,..,..,..,..,32.3,..,32.6,..,..,33.1,..,..,..,..,34.1,..,..,..,..,35.1,35.3,35.6,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Kazakhstan,KAZ,35.1,..,..,..,..,31.6,..,30.2,..,..,28.4,..,..,..,..,25.7,..,..,..,..,23.1,22.7,22.2,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Kenya,KEN,19.5,..,..,..,..,16.9,..,15.9,..,..,14.7,..,..,..,..,12.8,..,..,..,..,11.3,11,10.7,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Kiribati,KIR,68,..,..,..,..,60.5,..,57.4,..,..,53.4,..,..,..,..,47.1,..,..,..,..,41.6,40.7,39.7,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,"Korea, Dem. People's Rep.",PRK,29.5,..,..,..,..,25.8,..,24.5,..,..,22.7,..,..,..,..,19.8,..,..,..,..,17.4,17,16.5,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,"Korea, Rep.",KOR,35.2,..,..,..,..,30.9,..,29.4,..,..,27,..,..,..,..,23.8,..,..,..,..,21,20.5,20,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Kuwait,KWT,21.1,..,..,..,..,20.5,..,20.3,..,..,20.1,..,..,..,..,19.9,..,..,..,..,19.9,19.9,19.9,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Kyrgyz Republic,KGZ,30.9,..,..,..,..,29.6,..,29.3,..,..,28.7,..,..,..,..,28,..,..,..,..,27.5,27.4,27.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Lao PDR,LAO,51.8,..,..,..,..,44.2,..,41.5,..,..,38,..,..,..,..,32.8,..,..,..,..,28.7,27.8,27.2,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Latvia,LVA,45.4,..,..,..,..,42.4,..,41.3,..,..,39.6,..,..,..,..,37.1,..,..,..,..,34.7,34.3,33.9,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Lebanon,LBN,36.4,..,..,..,..,35.6,..,35.6,..,..,35.1,..,..,..,..,34.7,..,..,..,..,34.4,34.3,34.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Lesotho,LSO,32,..,..,..,..,29.4,..,28.5,..,..,27.5,..,..,..,..,26,..,..,..,..,25,24.7,24.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Liberia,LBR,17.5,..,..,..,..,14.6,..,13.6,..,..,12.3,..,..,..,..,10.3,..,..,..,..,8.8,8.5,8.2,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
